S02_PM01,S02_PM25,S02_PM10,S03_PM01,S03_PM25,S03_PM10,S04_PM01,S04_PM25,S04_PM10,S05_PM01,S05_PM25,S05_PM10,S08_PM01,S08_PM25,S08_PM10,S09_PM01,S09_PM25,S09_PM10,S10_PM01,S10_PM25,S10_PM10,S11_PM01,S11_PM25,S11_PM10,S14_PM1,S14_PM2.5,S14_PM10,S15_M1,S15_PM25,S15_PM10,S17_PM01,S17_PM25,S17_PM10,S18_PM01,S18_PM25,S18_PM10,S19_PM01,S19_PM25,S19_PM10,S20_PM01,S20_PM25,S20_PM10
7,11,11,7,14,14,8,13,15,3,9,10,9,16,17,13,20,22,9,14,15,0,0,0,7,9,9,4,7,8,10,14,16,6,10,11,7,11,12,7,11,12
7,11,11,7,14,14,8,13,14,3,9,10,9,16,17,13,20,22,9,13,14,0,0,0,7,9,9,4,7,8,8,12,14,6,11,11,7,11,12,7,12,12
7,11,12,7,13,13,8,14,15,4,10,11,9,16,17,13,20,23,9,13,14,0,0,0,7,9,9,5,8,9,8,12,14,7,12,12,7,11,12,7,12,12
7,12,13,7,13,13,8,14,16,4,10,11,8,16,17,13,20,23,9,13,14,0,0,0,6,8,8,5,8,9,8,12,14,7,12,12,7,11,12,7,12,12
8,12,13,7,13,13,8,14,16,4,10,11,8,16,17,13,20,23,9,14,14,0,0,0,6,8,8,5,8,9,8,12,13,7,13,13,7,11,12,7,12,13
8,13,14,7,14,14,8,15,17,4,9,11,8,16,17,13,20,23,9,14,14,0,0,0,6,8,8,4,7,8,9,13,14,7,13,13,7,11,12,7,12,13
8,12,13,8,15,15,8,16,17,4,9,11,9,15,16,13,20,23,9,14,14,0,0,0,6,8,8,4,7,8,9,13,14,7,13,13,8,12,13,7,12,13
7,12,13,8,15,15,8,15,15,4,9,11,9,15,16,13,20,23,9,13,14,0,0,0,7,9,9,4,7,8,9,13,14,6,13,13,8,12,13,7,11,13
7,12,13,8,13,13,8,15,16,3,8,9,9,15,16,13,21,24,9,13,14,0,0,0,7,9,9,4,7,9,8,12,13,6,13,13,8,12,13,7,11,13
7,12,13,8,13,13,7,14,15,3,8,9,9,15,16,13,21,24,9,13,14,0,0,0,7,10,10,5,8,10,8,12,13,5,12,12,7,12,13,7,11,13
7,12,13,8,13,13,8,14,15,3,8,9,9,15,16,13,21,24,10,14,14,0,0,0,7,10,10,5,8,10,8,11,13,5,12,13,7,12,13,7,12,13
7,12,13,8,13,13,8,14,15,3,9,10,9,15,16,13,22,24,10,14,14,0,0,0,7,10,10,5,8,10,8,11,13,5,12,13,7,12,13,7,12,13
